City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bredasdorp,ZA,2021-11-20 12:24:50,-34.5322,20.0403,70.29,61,93,20.38
68,Frolovo,RU,2021-11-20 12:26:40,49.7713,43.6622,40.39,96,100,27.58
69,Dikson,RU,2021-11-20 12:26:40,73.5069,80.5464,-10.71,92,87,10.36
70,Makakilo City,US,2021-11-20 12:22:46,21.3469,-158.0858,74.68,74,1,3.44
71,Maldonado,UY,2021-11-20 12:22:26,-34.6667,-54.9167,69.19,51,0,9.73
72,Caravelas,BR,2021-11-20 12:26:40,-17.7125,-39.2481,81.07,70,100,9.26
73,Carnarvon,AU,2021-11-20 12:26:41,-24.8667,113.6333,73.47,73,16,17.27
74,Mechanicsville,US,2021-11-20 12:26:41,37.6088,-77.3733,30.25,87,20,3.44
75,Hobart,AU,2021-11-20 12:23:01,-42.8794,147.3294,53.02,86,75,2.3
76,Tyup,KG,2021-11-20 12:26:41,42.7276,78.3648,18.41,70,1,4.9
77,Kahului,US,2021-11-20 12:26:42,20.8947,-156.47,77.85,80,1,0.0
78,Salta,AR,2021-11-20 12:25:54,-24.7859,-65.4117,73.58,56,20,3.0
79,Hermanus,ZA,2021-11-20 12:24:54,-34.4187,19.2345,81.9,59,39,20.85
80,Pangnirtung,CA,2021-11-20 12:26:42,66.1451,-65.7125,12.25,74,98,8.48
81,New Norfolk,AU,2021-11-20 12:24:53,-42.7826,147.0587,52.66,72,98,1.36
82,Henties Bay,NA,2021-11-20 12:26:42,-22.116,14.2845,62.85,72,61,12.59
83,Tuktoyaktuk,CA,2021-11-20 12:26:43,69.4541,-133.0374,-5.93,93,65,6.17
84,Natal,BR,2021-11-20 12:21:43,-5.795,-35.2094,86.65,62,75,16.11
85,Lazaro Cardenas,MX,2021-11-20 12:26:43,17.9583,-102.2,73.72,67,2,4.09
86,Port Lincoln,AU,2021-11-20 12:26:43,-34.7333,135.8667,56.57,70,0,17.45
87,Victoria,HK,2021-11-20 12:26:44,22.2855,114.1577,75.38,80,9,1.01
88,Belmonte,BR,2021-11-20 12:26:44,-15.8631,-38.8828,82.9,71,83,12.53
89,Floresta,BR,2021-11-20 12:26:44,-8.6011,-38.5686,84.81,42,35,9.28
90,Port Hardy,CA,2021-11-20 12:26:44,50.6996,-127.4199,44.6,93,90,3.44
