City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Grootfontein,NA,-19.5667,18.1167,76.57,18,5,8.05,clear sky
80,Georgetown,MY,5.4112,100.3354,78.89,93,40,3.44,scattered clouds
81,Hobart,AU,-42.8794,147.3294,55.02,90,75,4.61,broken clouds
82,Araguaina,BR,-7.1911,-48.2072,83.32,73,100,1.7,overcast clouds
83,Qaanaaq,GL,77.484,-69.3632,-7.55,69,41,6.91,scattered clouds
84,Darhan,MN,49.4867,105.9228,5.67,77,78,5.26,broken clouds
85,Thompson,CA,55.7435,-97.8558,6.96,61,20,21.85,few clouds
86,Dickinson,US,29.4608,-95.0513,83.01,75,75,3.0,broken clouds
87,Chuy,UY,-33.6971,-53.4616,86.95,39,5,10.69,clear sky
88,Bandar,ID,2.05,99.75,73.36,98,100,3.89,light rain
89,Alyangula,AU,-13.8483,136.4192,81.39,75,50,10.13,scattered clouds
90,Hermanus,ZA,-34.4187,19.2345,63.81,85,99,17.58,overcast clouds
91,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,56,75,9.22,broken clouds
92,Kahului,US,20.8947,-156.47,82.42,67,20,12.66,few clouds
93,Port Hardy,CA,50.6996,-127.4199,44.78,93,90,17.27,light rain
94,Providencia,MX,28.7167,-111.5833,87.21,24,99,5.01,overcast clouds
95,Aguimes,ES,27.9054,-15.4461,66.67,83,0,0.0,clear sky
96,New Norfolk,AU,-42.7826,147.0587,54.66,75,81,1.92,broken clouds
97,Lorengau,PG,-2.0226,147.2712,81.28,76,51,1.95,broken clouds
98,Aswan,EG,24.0934,32.907,67.3,39,0,8.05,clear sky
99,Olafsvik,IS,64.8945,-23.7142,42.91,85,100,23.62,overcast clouds
100,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-5.8,97,42,5.39,scattered clouds
101,Goma,CD,-1.6792,29.2228,63.5,92,100,3.53,light rain
102,Grand Gaube,MU,-20.0064,57.6608,75.38,72,32,3.0,light rain
103,Khatanga,RU,71.9667,102.5,-35.88,95,12,5.14,few clouds
104,Ponta Do Sol,PT,32.6667,-17.1,68.0,85,64,7.0,broken clouds
105,Misratah,LY,32.3754,15.0925,67.86,60,100,12.03,overcast clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,85.51,59,1,3.0,clear sky
107,Ketchikan,US,55.3422,-131.6461,46.87,93,90,14.97,mist
108,Berlevag,NO,70.8578,29.0864,28.35,43,0,11.5,light snow
109,Piedras Negras,MX,28.7,-100.5167,81.25,63,20,8.05,few clouds
